,Date,country,landslide_type,trigger,landslide_size,population,latitude,longitude
0,05/30/2008,Italy,2,1,3,16800,44.6467,7.6639
1,05/30/2008,Italy,2,1,3,809,44.8098,7.1526
2,05/30/2008,Italy,2,1,3,2982,45.7513,7.376
3,12/17/2008,Italy,2,1,3,169140,38.1102,15.6508
4,01/26/2009,Italy,2,1,3,959470,40.8403,14.252
5,04/28/2009,Italy,1,1,3,8420,45.0664,9.2635
6,10/01/2009,Italy,2,1,2,219948,38.196,15.5445
7,10/01/2009,Italy,2,1,2,219948,38.1923,15.5555
8,11/10/2009,Italy,1,1,3,8011,40.7477,13.913
9,02/14/2010,Italy,2,1,3,4846,38.89801323,16.56566431
10,02/15/2010,Italy,2,1,3,1879,38.708,16.1901
11,02/15/2010,Italy,2,1,3,3942,38.018,14.599
12,03/10/2010,Italy,2,1,3,219948,38.1947,15.5406
13,05/15/2010,Italy,1,1,3,2001,44.3189,11.2603
14,09/10/2010,Italy,2,1,3,887,40.6378,14.6074
15,10/31/2010,Italy,2,1,3,10023,44.0493,10.1432
16,10/31/2010,Italy,2,1,3,64783,44.0513,10.127
17,10/31/2010,Italy,1,1,3,20435,44.0928,9.9381
18,10/31/2010,Italy,1,1,3,1392,44.1473,9.8792
19,10/31/2010,Italy,1,1,3,2935,44.4197,8.5282
20,11/01/2010,Italy,2,1,3,12762,43.862,7.829
21,03/01/2011,Italy,2,1,3,988,39.0177,16.1928
22,03/02/2011,Italy,1,1,3,23230,43.3166,12.8788
23,03/04/2011,Italy,1,1,3,587,37.8762,15.1933
24,07/07/2011,Italy,1,1,3,3178,46.0161,9.2572
25,10/21/2011,Italy,1,1,3,32484,40.8308,14.43
26,10/25/2011,Italy,1,1,3,545,44.2408,9.6882
27,10/26/2011,Italy,1,1,2,611,44.2231,9.7197
28,11/22/2011,Italy,1,1,3,2666,38.9102,16.5877
29,11/22/2011,Italy,2,1,3,1473,38.2072,15.4306
30,11/23/2011,Italy,1,1,4,1250,39.1854,16.158
31,11/23/2011,Italy,1,1,3,1473,38.1944,15.4337
32,04/08/2013,Italy,1,1,3,4410,43.3135,12.3009
33,08/22/2013,Italy,1,2,3,6385,43.6263,13.5114
34,10/22/2013,Italy,1,1,1,42867,43.3491,11.3032
35,12/02/2013,Italy,1,1,2,20036,41.8368,12.6528
36,12/03/2013,Italy,1,1,3,9205,40.5452,16.6525
37,12/26/2013,Italy,1,1,3,1012,45.97,9.2386
38,12/26/2013,Italy,2,1,3,2288,46.0539,9.4192
39,12/26/2013,Italy,1,1,3,1238,45.9835,9.4
40,12/26/2013,Italy,1,1,3,3762,44.4979,8.9042
41,01/17/2014,Italy,1,1,3,1773,43.9266,8.1243
42,01/21/2014,Italy,3,0,3,2853,46.3291,11.2315
43,01/31/2014,Italy,1,1,2,829,41.8964,12.4374
44,03/09/2014,Italy,1,1,3,3841,44.2136,8.4163
45,10/14/2014,,1,1,3,187056,45.6621,13.8002
46,11/10/2014,,1,1,3,2218,44.3471,9.3134
47,11/12/2014,,2,1,3,43030,45.576,8.0499
48,11/15/2014,,1,1,3,8130,45.9,8.5968
49,01/19/2014,,1,1,3,3656,44.3804,9.0563
50,11/16/2014,,3,0,3,322,46.8621,11.1463
51,02/04/2015,,3,1,4,23902,40.7511,14.482
52,03/19/2016,,3,0,4,11226,44.4099,8.6944
53,08/04/2015,,1,1,3,1548,46.4891,12.2186
54,11/27/2015,,3,1,4,669,41.6507,14.5982
